"1349218194.528153","swan-ap2","172.27.74.209","999999"
"1349218195.540239","swan-ap2","172.27.74.210","999999"
"1349218199.172696","swan-ap2","172.24.98.64","999999"
"1349218234.737304","swan-ap2","172.27.74.202","999999"
"1349218235.841434","swan-ap2","172.27.74.210","999999"
"1349218236.957591","swan-ap2","172.27.74.224","999999"
"1349218239.109859","swan-ap2","172.24.98.42","999999"
"1349218240.174007","swan-ap2","172.24.98.49","999999"
"1349218241.186132","swan-ap2","172.24.98.50","999999"
"1349218242.223486","swan-ap2","172.24.98.55","999999"
"1349218767.050285","swan-ap2","172.27.74.208","999999"
"1349218822.793578","swan-ap2","8.8.8.8","999999"
"1349218867.787362","swan-ap2","172.27.74.229","999999"
"1349218903.375968","swan-ap2","8.8.8.8","999999"
"1349218932.783815","swan-ap2","69.171.229.16","999999"
"1349218933.799994","swan-ap2","173.194.79.136","999999"
"1349218934.900196","swan-ap2","172.27.74.206","999999"
"1349218979.377856","swan-ap2","8.8.8.8","999999"
"1349218999.636514","swan-ap2","173.194.79.104","999999"
"1349219017.846912","swan-ap2","8.8.8.8","999999"
"1349219018.894997","swan-ap2","67.148.47.9","999999"
"1349219025.043799","swan-ap2","172.27.74.205","999999"
"1349219200.230585","swan-ap2","67.148.47.26","999999"
"1349219206.955467","swan-ap2","172.24.98.63","999999"
"1349219239.879742","swan-ap2","172.27.74.208","999999"
"1349219566.942351","swan-ap2","172.24.98.60","999999"
"1349220051.773415","swan-ap2","172.27.74.220","999999"
"1349220052.94155","swan-ap2","172.24.98.38","999999"
"1349220132.24786","swan-ap2","67.148.47.9","999999"
"1349221891.801032","swan-ap2","172.27.74.211","999999"
"1349222828.727198","swan-ap2","173.194.79.103","999999"
"1349224208.540939","swan-ap2","69.171.237.32","999999"
"1349224446.39777","swan-ap2","172.24.98.62","999999"
"1349224514.331143","swan-ap2","173.194.79.103","999999"
"1349224740.426318","swan-ap2","172.27.74.229","999999"
"1349227379.080966","swan-ap2","172.27.74.205","999999"
"1349227391.202554","swan-ap2","172.27.74.205","999999"
"1349227403.412227","swan-ap2","172.27.74.205","999999"
"1349227415.533801","swan-ap2","172.27.74.205","999999"
"1349227427.779543","swan-ap2","172.27.74.205","999999"
"1349227439.929288","swan-ap2","172.27.74.205","999999"
"1349227463.248659","swan-ap2","172.27.74.205","999999"
"1349227475.418473","swan-ap2","172.27.74.205","999999"
"1349227487.584189","swan-ap2","172.27.74.205","999999"
"1349227488.612325","swan-ap2","172.27.74.207","999999"
"1349227500.914113","swan-ap2","172.27.74.205","999999"
"1349227501.942171","swan-ap2","172.27.74.207","999999"
"1349227514.047975","swan-ap2","172.27.74.205","999999"
"1349227515.076072","swan-ap2","172.27.74.207","999999"
"1349227527.23385","swan-ap2","172.27.74.205","999999"
"1349227542.704031","swan-ap2","172.27.74.205","999999"
"1349227554.701761","swan-ap2","8.8.8.8","999999"
"1349227555.881914","swan-ap2","172.27.74.205","999999"
"1349227556.906102","swan-ap2","172.27.74.207","999999"
"1349227569.015815","swan-ap2","172.27.74.205","999999"
"1349227581.177538","swan-ap2","172.27.74.205","999999"
